label,message
ham,You could have seen me..i did't recognise you Face.:)
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
ham,Tell me again what your address is
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,It has issues right now. Ill fix for her by tomorrow.
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
ham,DO NOT B LATE LOVE MUM
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,I dont know why she.s not getting your messages
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,Ok then no need to tell me anything i am going to sleep good night
ham,"Sorry, I'll call later"
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub
ham,What about this one then.
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,"Awesome, text me when you're restocked"
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
spam,You have 1 new message. Please call 08718738034.
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,Mum ask Ì_ to buy food home...
ham,Esplanade lor. Where else...
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,"Cool, what time you think you can get here?"
spam,PRIVATE! Your 2003 Account Statement for 078
ham,Then we gotta do it after that
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,Whos this am in class:-)
ham,"sorry, no, have got few things to do. may be in pub later."
ham,Its a part of checking IQ
ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,My drive can only be read. I need to write
ham,Call me when you get the chance plz <3
ham,Me i'm not workin. Once i get job...
ham,Is that on the telly? No its Brdget Jones!
ham,Ok lor then we go tog lor...
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
ham,Who u talking about?
spam,85233 FREE>Ringtone!Reply REAL
ham,I like to think there's always the possibility of being in a pub later.
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,I can take you at like noon
spam,You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill
ham,Do you know what Mallika Sherawat did yesterday? Find out now @
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since before I was even born!
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\"""""
ham,Oh wow thats gay. Will firmware update help
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,My exam is for february 4. Wish you a great day.
ham,"Nothing much, chillin at home. Any super bowl plan?"
ham,In sch but neva mind u eat 1st lor..
ham,I dont have i shall buy one dear
ham,Lol! Oops sorry! Have fun.
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,I remain unconvinced that this isn't an elaborate test of my willpower
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer..."
ham,Except theres a chick with huge boobs.
ham,No. Yes please. Been swimming?
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
ham,DO U WANT 2 MEET UP 2MORRO
ham,Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.
ham,But i have to. I like to have love and arrange.
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
ham,Doing project w frens lor.
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
ham,Huh so early.. Then Ì_ having dinner outside izzit?
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
ham,No..he joined today itself.
ham,"K, I might come by tonight then if my class lets out early"
ham,Kothi print out marandratha.
ham,The hair cream has not been shipped.
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,", , and picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
ham,Just sleeping..and surfing
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
ham,Are you there in room.
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,K k pa Had your lunch aha.
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on
ham,"Aight, I'll hit you up when I get some cash"
ham,K.k:)advance happy pongal.
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,She's borderline but yeah whatever.
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,Ok how you dear. Did you call chechi
ham,K.k.this month kotees birthday know?
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
ham,Designation is software developer and may be she get chennai:)
ham,Yavnt tried yet and never played original either
ham,Why do you ask princess?
ham,You'd like that wouldn't you? Jerk!
ham,I'm home. Doc gave me pain meds says everything is fine.
ham,"Well, I meant as opposed to my drunken night of before"
ham,Yes there were many sweets
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,It only does simple arithmetic not percentages.
ham,"It's cool, let me know before it kicks off around , I'll be out and about all day"
ham,No. On the way home. So if not for the long dry spell the season would have been over
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,"Sounds good, keep me posted"
ham,Genius what's up. How your brother. Pls send his number to my skype.
ham,I'm glad. You are following your dreams.
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Buy one egg for me da..please:)
ham,Wen did you get so spiritual and deep. That's great
ham,I'm in a movie. Call me 4 wat?
spam,3. You have received your mobile content. Enjoy
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,Can Ì_ all decide faster cos my sis going home liao..
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n"
ham,Cause I'm not freaky lol
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
ham,Normally i use to drink more water daily:)
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,Sorry de i went to shop.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,Gud mrng dear have a nice day
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Dude how do you like the buff wind.
ham,"Ya tel, wats ur problem.."
ham,I'm done...
ham,Good. Good job. I like entrepreneurs
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
ham,I'm hungry buy smth home...
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Lemme know when you're here
ham,If you're not in my car in an hour and a half I'm going apeshit
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,Nothing spl..wat abt u and whr ru?
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Pls accept me for one day. Or am begging you change the number.
ham,Oh is it! Which brand?
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,Great. So should i send you my account number.
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,My sort code is and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Please sen :)my kind advice :-)please come here and try:-)
ham,ÌÏ ready then call me...
ham,"Awesome, that gonna be soon or later tonight?"
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,Sat right? Okay thanks...
ham,Spoons it is then okay?
ham,At 4. Let's go to bill millers
spam,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
ham,Finally the match heading towards draw as your prediction.
ham,I have no money 4 steve mate! !
ham,Then what about further plan?
ham,Oops i thk i dun haf enuff... I go check then tell Ì_..
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,When're you guys getting back? G said you were thinking about not staying for mcr
ham,I am in your office na.
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
ham,No da. . Vijay going to talk in jaya tv
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,I.ll get there tomorrow and send it to you
ham,How much are we getting?
ham,"Aight, let me know when you're gonna be around usf"
ham,great loxahatchee xmas tree burning update: you can totally see stars here
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,I'm on the bus. Love you
ham,"That's cool, I'll come by like ish"
ham,ÌÏ takin linear algebra today?
ham,How come?
ham,Great comedy..cant stop laughing da:)
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,Do you always celebrate NY's with your family ?
ham,So i'm doing a list of buyers.
ham,So no messages. Had food?
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Thank you. do you generally date the brothas?
ham,Ok. She'll be ok. I guess
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
ham,Going for dinner.msg you after.
ham,"Doing nothing, then u not having dinner w us?"
ham,No..jst change tat only..
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub
ham,Kallis is ready for bat in 2nd innings
ham,"No, I was trying it all weekend ;V"
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
ham,Are you willing to go for aptitude class.
ham,Yeah that'd pretty much be the best case scenario
ham,Don know. I did't msg him recently.
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,Ok
ham,Thanks honey. Have a great day.
ham,Shb b ok lor... Thanx...
ham,Yup Ì_ not comin :-(
ham,Ok which your another number
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,* Am on my way
ham,That seems unnecessarily hostile
ham,Sindu got job in birla soft ..
ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?
ham,"Sorry, I'll call later ok bye"
ham,Can you open the door?
ham,Anything...
ham,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\"""""
ham,4 oclock at mine. Just to bash out a flat plan.
ham,Cool. I am inches long. hope you like them big!
ham,"K, want us to come by now?"
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,"I do know what u mean, is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
ham,"Alright, see you in a bit"
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
spam,WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.
ham,K tell me anything about you.
ham,You know there is. I shall speak to you in minutes then
ham,What you thinked about me. First time you saw me in class.
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
ham,Boo. How's things? I'm back at home and a little bored already :-(
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,University of southern california.
ham,"Could you not read me, my Love ? I answered you"
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,I think just yourself ‰Û_Thanks and see you tomo
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,Aight ill get on fb in a couple minutes
ham,Thanks for this hope you had a good day today
ham,Life style garments account no please.
ham,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold or any bb"
ham,Gud mrng dear hav a nice day
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
ham,Happy new years melody!
ham,Good evening! this is roger. How are you?
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\"""""
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,Im good! I have been thinking about you...
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
ham,Oh. U must have taken your REAL Valentine out shopping first.
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins
ham,Ya but it cant display internal subs so i gotta extract them
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q?"
ham,Hey so whats the plan this sat?
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,Cool. So how come you havent been wined and dined before?
ham,We don call like times oh. No give us hypertension oh.
ham,Home so we can always chat
ham,You'll never believe this but i have actually got off at taunton. Wow
ham,Hi :)finally i completed the course:)
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,Oh that was a forwarded message. I thought you send that to me
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
ham,"Yeah, don't go to bed, I'll be back before midnight"
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub
ham,Every monday..nxt week vl be completing..
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
ham,Printer is cool. I mean groovy. Wine is groovying
ham,Ok... U enjoy ur shows...
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
ham,I've got it down to a tea. not sure which flavour
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
ham,Noice. Text me when you're here
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each"
ham,Not getting anywhere with this damn job hunting over here!
ham,Dear are you angry i was busy dear
ham,Yes but I don't care cause I know its there!
spam,FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,I accidentally brought em home in the box
ham,Does uncle timi help in clearing cars
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,I like to talk pa but am not able to. I dont know y.
ham,i want to grasp your pretty booty :)
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,"Jay wants to work out first, how's 4 sound?"
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get % u get %. Deal?
ham,How dare you change my ring
ham,I'm wif him now buying tix lar...
ham,I'm not sure if its still available though
ham,Wat's my dear doing? Sleeping ah?
ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x
ham,"Aight, lemme know what's up"
ham,I can send you a pic if you like :)
ham,Well. You know what i mean. Texting
ham,"If i let you do this, i want you in the house by 8am."
ham,Rofl. Its true to its name
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,Aight well keep me informed
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
ham,Its a big difference. versus every hrs
ham,Lmao!nice 1
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,"Okey dokey, i‰Û÷ll be over in a bit just sorting some stuff out."
ham,i thought we were doing a king of the hill thing there.
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,I just lov this line: \Hurt me with the truth
ham,LMAO where's your fish memory when I need it?
ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
